;Provincias;Sexo_x;Periodo_x;Total_x;codigo;Provincia;total_hab;Municipios;Sexo_y;Periodo_y;Total_y;CODIGOINE;is_total;Población;Comunidad;Latitud;Longitud;Altitud;Habitantes;Hombres;Mujeres
4694;34 Palencia;Total;2019;160.980;34;Palencia;160980;34 Palencia;Total;2019;160980;34;True;Palencia;Castilla León;42,01246;-4,531175;745,8375;82651;39218;43433
4882;35 Palmas, Las;Total;2019;1.120.406;35;Las Palmas;1120406;35001 Agaete;Total;2019;5586;35001;False;Agaete;Canarias;28,10045;-15,69982;50,89878;5782;2903;2879
4914;36 Pontevedra;Total;2019;942.665;36;Pontevedra;942665;36 Pontevedra;Total;2019;942665;36;True;Pontevedra;Galicia;42,43362;-8,648053;18,60786;81576;38662;42914
4968;26 Rioja, La;Total;2019;316.798;26;La Rioja;316798;26001 Ábalos;Total;2019;257;26001;False;Ábalos;La Rioja;42,57265;-2,710933;590,3367;387;239;148
5139;37 Salamanca;Total;2019;330.119;37;Salamanca;330119;06118 Sancti-Spíritus;Total;2019;167;06118;False;Sancti-Spíritus;Castilla León;40,70518;-6,400911;760,9977;930;476;454
5459;38 Santa Cruz de Tenerife;Total;2019;1.032.983;38;Santa Cruz de Tenerife;1032983;38 Santa Cruz de Tenerife;Total;2019;1032983;38;True;Santa Cruz de Tenerife;Canarias;28,46981;-16,25486;41,29388;222417;106829;115588
5501;40 Segovia;Total;2019;153.129;40;Segovia;153129;40 Segovia;Total;2019;153129;40;True;Segovia;Castilla León;40,94943;-4,119209;1012,785;56660;27415;29245
5704;41 Sevilla;Total;2019;1.942.389;41;Sevilla;1942389;41 Sevilla;Total;2019;1942389;41;True;Sevilla;Andalucía;37,38264;-5,996295;8,265573;703206;335097;368109
5785;42 Soria;Total;2019;88.636;42;Soria;88636;10154 Rebollar;Total;2019;214;10154;False;Rebollar;Castilla León;41,91376;-2,50513;1134,53;46;23;23
5963;43 Tarragona;Total;2019;804.664;43;Tarragona;804664;43 Tarragona;Total;2019;804664;43;True;Tarragona;Catalunya;41,11866;1,24533;26,26264;140323;69512;70811
6098;44 Teruel;Total;2019;134.137;44;Teruel;134137;44 Teruel;Total;2019;134137;44;True;Teruel;Aragón;40,34411;-1,10691;927,4562;35396;17264;18132
6317;45 Toledo;Total;2019;694.844;45;Toledo;694844;45 Toledo;Total;2019;694844;45;True;Toledo;Castilla La Mancha;39,85678;-4,024476;524,0618;82291;39497;42794
6496;46 Valencia/València;Total;2019;2.565.124;46;Valencia;2565124;46001 Ademuz;Total;2019;1042;46001;False;Ademuz;Valencia;40,06174;-1,286526;753,2866;1286;689;597
6728;47 Valladolid;Total;2019;519.546;47;Valladolid;519546;47 Valladolid;Total;2019;519546;47;True;Valladolid;Castilla León;41,65295;-4,728388;699,4927;317864;151570;166294
6948;49 Zamora;Total;2019;172.539;49;Zamora;172539;44102 Fonfría;Total;2019;27;44102;False;Fonfría;Castilla León;41,63623;-6,137211;826,7355;965;489;476
7190;50 Zaragoza;Total;2019;964.693;50;Zaragoza;964693;50 Zaragoza;Total;2019;964693;50;True;Zaragoza;Aragón;41,65629;-0,8765379;204,0027;674317;328470;345847
7468;51 Ceuta;Total;2019;84.777;51;Ceuta;84777;51 Ceuta;Total;2019;84777;51;True;Ceuta;Ceuta y Melilla;35,88829;-5,316195;13,47725;78674;40118;38556
7470;52 Melilla;Total;2019;86.487;52;Melilla;86487;52 Melilla;Total;2019;86487;52;True;Melilla;Ceuta y Melilla;35,29234;-2,938794;10,3337;73460;37244;36216
